index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,trans_mean,stat_mean,transition_entropy_c,stationary_entropy_c
5,big,58,H,50,0.8846710535912063,1.8049005553876447,1.0,80,0.7297027238660976,1.1826660961600333,0.15496832972510877,0.6222344592276114
6,big,58,H,60,0.8580182542473631,1.6962152025697446,1.0,80,0.7297027238660976,1.1826660961600333,0.12831553038126553,0.5135491064097113
7,big,58,H,70,0.9209553886356764,1.450147754723911,1.0,80,0.7297027238660976,1.1826660961600333,0.1912526647695788,0.26748165856387773
8,big,58,H,80,0.7138563596896247,1.4441938783983648,1.0,80,0.7297027238660976,1.1826660961600333,-0.015846364176472894,0.2615277822383315
9,big,58,H,90,0.4999885045466121,1.173284570107124,1.0,80,0.7297027238660976,1.1826660961600333,-0.2297142193194855,-0.009381526052909317
10,big,58,H,100,0.4330193215251263,1.127571833851282,1.0,80,0.7297027238660976,1.1826660961600333,-0.2966834023409713,-0.05509426230875136
11,big,58,H,110,0.6481885792527229,1.082521524271517,1.0,80,0.7297027238660976,1.1826660961600333,-0.0815141446133747,-0.10014457188851633
12,big,58,H,120,0.9147414930826838,1.2789066940263534,1.0,80,0.7297027238660976,1.1826660961600333,0.18503876921658624,0.09624059786632011
13,big,58,H,130,0.97970632523405,1.689981418252487,0.0,80,0.7297027238660976,1.1826660961600333,0.2500036013679524,0.5073153220924538
14,big,58,H,140,0.7655563814111324,1.8084459423847608,0.0,80,0.7297027238660976,1.1826660961600333,0.03585365754503478,0.6257798462247275
15,big,58,H,150,0.7189342809145116,1.515126614463373,0.0,80,0.7297027238660976,1.1826660961600333,-0.010768442951585966,0.3324605183033398
16,big,58,H,160,0.7824189978727755,0.9181144812444996,0.0,80,0.7297027238660976,1.1826660961600333,0.05271627400667789,-0.2645516149155337
17,big,58,H,170,0.6660566587727622,0.9540459910923166,0.0,80,0.7297027238660976,1.1826660961600333,-0.06364606509333537,-0.22862010506771668
18,big,58,H,180,0.8487942904068939,1.29862905159524,0.0,80,0.7297027238660976,1.1826660961600333,0.11909156654079633,0.11596295543520663
19,big,58,H,190,0.9220328474333398,1.4461186055758153,1.0,80,0.7297027238660976,1.1826660961600333,0.19233012356724222,0.263452509415782
20,big,58,H,200,1.0657704140505275,1.639613366528605,1.0,80,0.7297027238660976,1.1826660961600333,0.33606769018442995,0.45694727036857175
21,big,58,H,210,0.9861530731692932,1.3865215049707773,1.0,80,0.7297027238660976,1.1826660961600333,0.25645034930319566,0.20385540881074404
22,big,58,H,220,0.8581948367053132,1.331319755421868,0.0,80,0.7297027238660976,1.1826660961600333,0.12849211283921558,0.14865365926183483
23,big,58,H,230,0.7546504099598683,0.9511649396087294,0.0,80,0.7297027238660976,1.1826660961600333,0.024947686093770738,-0.23150115655130388
24,big,58,H,240,0.8998764286470545,1.084687397952699,0.0,80,0.7297027238660976,1.1826660961600333,0.17017370478095695,-0.09797869820733429
25,big,58,H,250,0.7108297156860381,0.8970820525037753,0.0,80,0.7297027238660976,1.1826660961600333,-0.018873008180059436,-0.285584043656258
26,big,58,H,260,0.5626190670738225,0.9425257452082636,1.0,80,0.7297027238660976,1.1826660961600333,-0.1670836567922751,-0.24014035095176967
