index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,trans_mean,stat_mean,transition_entropy_c,stationary_entropy_c
5,big,58,H,50,0.9089620320033966,0.872305501889112,1.0,80,0.5395832218005863,0.6613715231074196,0.3693788102028104,0.2109339787816924
6,big,58,H,60,0.8918685062744056,0.8438284452561624,1.0,80,0.5395832218005863,0.6613715231074196,0.35228528447381935,0.18245692214874276
7,big,58,H,70,0.831731304047338,0.8832461688300737,1.0,80,0.5395832218005863,0.6613715231074196,0.2921480822467517,0.22187464572265403
8,big,58,H,80,0.6846356339271056,0.8054467696536343,1.0,80,0.5395832218005863,0.6613715231074196,0.14505241212651931,0.14407524654621462
9,big,58,H,90,0.556017856757349,0.8032716771034951,1.0,80,0.5395832218005863,0.6613715231074196,0.016434634956762784,0.14190015399607547
10,big,58,H,100,0.3250219997518213,0.8022253360524947,1.0,80,0.5395832218005863,0.6613715231074196,-0.214561222048765,0.14085381294507504
11,big,58,H,110,0.4484595488405352,0.7772550022022335,1.0,80,0.5395832218005863,0.6613715231074196,-0.09112367296005108,0.11588347909481389
12,big,58,H,120,0.5821147336332235,0.7649981887947745,1.0,80,0.5395832218005863,0.6613715231074196,0.04253151183263726,0.1036266656873549
13,big,58,H,130,0.599605725581442,0.7374255113272393,0.0,80,0.5395832218005863,0.6613715231074196,0.06002250378085572,0.07605398821981968
14,big,58,H,140,0.6601904218545342,0.8551327787504808,0.0,80,0.5395832218005863,0.6613715231074196,0.12060720005394798,0.19376125564306113
15,big,58,H,150,0.6499525082970176,0.6270959289253181,0.0,80,0.5395832218005863,0.6613715231074196,0.1103692864964313,-0.034275594182101576
16,big,58,H,160,0.6180545433367293,0.7527808156738489,0.0,80,0.5395832218005863,0.6613715231074196,0.078471321536143,0.09140929256642927
17,big,58,H,170,0.658358782341899,0.7439911316570549,0.0,80,0.5395832218005863,0.6613715231074196,0.11877556054131277,0.08261960854963524
18,big,58,H,180,0.846230453385749,0.9684870863839972,0.0,80,0.5395832218005863,0.6613715231074196,0.3066472315851627,0.3071155632765775
19,big,58,H,190,0.9100612312718648,0.9286711583686028,1.0,80,0.5395832218005863,0.6613715231074196,0.3704780094712785,0.26729963526118317
20,big,58,H,200,0.8850527349173847,0.9266544227869686,1.0,80,0.5395832218005863,0.6613715231074196,0.3454695131167984,0.265282899679549
21,big,58,H,210,0.6616422495639105,0.7712497037181637,1.0,80,0.5395832218005863,0.6613715231074196,0.12205902776332422,0.10987818061074406
22,big,58,H,220,0.5599461901942677,0.741624776062364,0.0,80,0.5395832218005863,0.6613715231074196,0.020362968393681458,0.08025325295494434
23,big,58,H,230,0.5733740954449003,0.6544695083465402,0.0,80,0.5395832218005863,0.6613715231074196,0.03379087364431399,-0.006902014760879482
24,big,58,H,240,0.532498709107713,0.6524812810962477,0.0,80,0.5395832218005863,0.6613715231074196,-0.007084512692873246,-0.008890242011171945
25,big,58,H,250,0.5312253927366968,0.690703700687396,0.0,80,0.5395832218005863,0.6613715231074196,-0.008357829063889488,0.029332177579976304
26,big,58,H,260,0.2445101567542225,0.6834483569678491,1.0,80,0.5395832218005863,0.6613715231074196,-0.29507306504636377,0.022076833860429468
28,big,58,H,280,0.36854924992935,0.689628794532974,1.0,80,0.5395832218005863,0.6613715231074196,-0.17103397187123626,0.028257271425554342
30,big,58,H,300,0.2671040074914796,0.680174110303762,0.0,80,0.5395832218005863,0.6613715231074196,-0.27247921430910665,0.018802587196342313
31,big,58,H,310,0.1874804511606591,0.5848809405686628,0.0,80,0.5395832218005863,0.6613715231074196,-0.3521027706399272,-0.07649058253875685
32,big,58,H,320,0.3340680454187054,0.8561122724509554,0.0,80,0.5395832218005863,0.6613715231074196,-0.20551517638188088,0.1947407493435358
33,big,58,H,330,0.3698161828717376,0.9085424807155312,0.0,80,0.5395832218005863,0.6613715231074196,-0.16976703892884865,0.24717095760811159
34,big,58,H,340,0.8077011252603616,0.9414977203648208,0.0,80,0.5395832218005863,0.6613715231074196,0.2681179034597754,0.2801261972574012
35,big,58,H,350,0.7218599513476394,0.8818034963395855,1.0,80,0.5395832218005863,0.6613715231074196,0.1822767295470531,0.2204319732321659
36,big,58,H,360,0.7104708043846779,0.8693743383145123,1.0,80,0.5395832218005863,0.6613715231074196,0.17088758258409165,0.20800281520709263
37,big,58,H,370,0.2507399030501891,0.6616752947097488,0.0,80,0.5395832218005863,0.6613715231074196,-0.28884331875039715,0.00030377160232919476
38,big,58,H,380,0.3654577003153808,0.6915144788997596,1.0,80,0.5395832218005863,0.6613715231074196,-0.1741255214852055,0.030142955792339943
39,big,58,H,390,0.4149714731734465,0.6720793875419319,1.0,80,0.5395832218005863,0.6613715231074196,-0.12461174862713975,0.010707864434512215
40,big,58,H,400,0.4894754135253445,0.1051026605828815,0.0,80,0.5395832218005863,0.6613715231074196,-0.05010780827524175,-0.5562688625245381
41,big,58,H,410,0.0,0.0,1.0,80,0.5395832218005863,0.6613715231074196,-0.5395832218005863,-0.6613715231074196
42,big,58,H,420,0.5550341609661129,0.2594650785399537,1.0,80,0.5395832218005863,0.6613715231074196,0.015450939165526645,-0.40190644456746594
44,big,58,H,440,0.6120175647832586,0.513603256188826,0.0,80,0.5395832218005863,0.6613715231074196,0.07243434298267237,-0.14776826691859368
45,big,58,H,450,0.5152166529041458,0.6555048333565475,0.0,80,0.5395832218005863,0.6613715231074196,-0.02436656889644051,-0.005866689750872123
46,big,58,H,460,0.4929205287688575,0.7427603545693668,0.0,80,0.5395832218005863,0.6613715231074196,-0.046662693031728764,0.0813888314619472
47,big,58,H,470,0.1561580242822685,0.5940192799472124,0.0,80,0.5395832218005863,0.6613715231074196,-0.3834251975183178,-0.06735224316020727
48,big,58,H,480,0.2721059199607945,0.834664609431013,0.0,80,0.5395832218005863,0.6613715231074196,-0.2674773018397918,0.1732930863235933
49,big,58,H,490,0.3662639764265975,0.980568950383766,0.0,80,0.5395832218005863,0.6613715231074196,-0.17331924537398874,0.31919742727634637
50,big,58,H,500,0.3693285629317733,1.0831835983273652,0.0,80,0.5395832218005863,0.6613715231074196,-0.17025465886881297,0.42181207521994557
51,big,58,H,510,0.4444208521867783,1.02686179756941,0.0,80,0.5395832218005863,0.6613715231074196,-0.09516236961380797,0.36549027446199045
52,big,58,H,520,0.6166991892748592,1.0592294238851931,0.0,80,0.5395832218005863,0.6613715231074196,0.07711596747427296,0.3978579007777735
53,big,58,H,530,0.5512931815856574,0.6001171813205172,0.0,80,0.5395832218005863,0.6613715231074196,0.011709959785071167,-0.06125434178690248
54,big,58,H,540,0.4820542952702711,0.3975452445431545,0.0,80,0.5395832218005863,0.6613715231074196,-0.05752892653031516,-0.26382627856426516
55,big,58,H,550,0.6019109790611833,0.4777826163361248,1.0,80,0.5395832218005863,0.6613715231074196,0.06232775726059703,-0.18358890677129486
56,big,58,H,560,0.6916643162272329,0.605795052590173,1.0,80,0.5395832218005863,0.6613715231074196,0.15208109442664663,-0.05557647051724668
57,big,58,H,570,0.6534437617778424,0.4898094264240223,1.0,80,0.5395832218005863,0.6613715231074196,0.11386053997725609,-0.17156209668339734
58,big,58,H,580,0.4657447380161388,0.548256072239951,1.0,80,0.5395832218005863,0.6613715231074196,-0.07383848378444746,-0.11311545086746866
59,big,58,H,590,0.5058364752971625,0.5076654128800031,0.0,80,0.5395832218005863,0.6613715231074196,-0.0337467465034238,-0.15370611022741654
60,big,58,H,600,0.9306073476979336,0.2784905560581781,0.0,80,0.5395832218005863,0.6613715231074196,0.39102412589734736,-0.38288096704924157
61,big,58,H,610,0.9306073476979336,0.2784905560581781,0.0,80,0.5395832218005863,0.6613715231074196,0.39102412589734736,-0.38288096704924157
62,big,58,H,620,0.1420481762160551,0.6451646156344684,0.0,80,0.5395832218005863,0.6613715231074196,-0.3975350455845312,-0.016206907472951282
63,big,58,H,630,0.0691682076430392,0.4980158598351033,0.0,80,0.5395832218005863,0.6613715231074196,-0.47041501415754705,-0.16335566327231632
64,big,58,H,640,0.1933437724941022,0.5448367277936641,0.0,80,0.5395832218005863,0.6613715231074196,-0.3462394493064841,-0.11653479531375555
65,big,58,H,650,0.3232243831519765,0.6354077798102529,0.0,80,0.5395832218005863,0.6613715231074196,-0.21635883864860977,-0.025963743297166775
66,big,58,H,660,0.4094586186950892,0.0,0.0,80,0.5395832218005863,0.6613715231074196,-0.13012460310549706,-0.6613715231074196
67,big,58,H,670,0.3799227166056871,0.7474133720575259,0.0,80,0.5395832218005863,0.6613715231074196,-0.15966050519489916,0.08604184895010625
68,big,58,H,680,0.4191788540000165,0.8129547309366286,0.0,80,0.5395832218005863,0.6613715231074196,-0.12040436780056979,0.15158320782920898
