ID,Condition,start_transition,Source,Target,Weight,trans_duration,head_rotation_amplitude,trans_amplitude,trans_velocity
006,1,0.7106819,5B,6A,1,0.06806380000000001,0.05264612343516717,0.40442750364718016,5.941888399518983
006,1,1.276955,6A,3A,1,0.034896999999999956,0.8432781087965111,1.7035593845669135,48.81678610100913
006,1,1.543724,3A,3B,1,0.13270799999999983,8.824054405935016,0.40456617998295413,3.048544021332208
006,1,2.042921,3B,9B,1,0.13389599999999957,5.672580371470758,3.317364502486038,24.775680397368472
006,1,2.233522,9B,2A,1,0.47738900000000006,58.90420007762143,4.728673457816455,9.905283652988347
006,1,2.867069,2A,4A,1,0.131853,1.2857733309384898,3.128016622004865,23.723514990215353
006,1,3.133268,4A,1A,1,0.06588599999999989,2.13189453606185,1.1431353026123767,17.35020038570225
006,1,3.543591,1A,4A,1,0.11124,1.7905952454124971,1.3201244631493045,11.867354037660055
006,1,3.875347,4A,4B,1,0.023248999999999853,0.7639279785609077,0.4879173683616523,20.98659591215344
006,1,4.083115,4B,2B,1,0.08614099999999958,6.977731761994946,2.8361125167177144,32.92407235483368
006,1,4.355036,2B,5A,1,0.03295699999999968,0.2991330390773328,1.8724661641387315,56.815431141752875
006,1,4.487638,5A,2B,1,0.033970000000000056,0.05830079369425789,1.8225216046714294,53.650915651204784
006,1,4.687582,2B,9A,1,0.29958300000000015,3.7641761517567147,3.628135040601374,12.110617226616238
006,1,5.119852,9A,4A,1,1.7552260000000004,39.19362702006918,7.095716138597245,4.042622510489956
006,1,7.007607,4A,5A,1,0.045876999999999946,4.972405371354064,1.6577550621355372,36.134774770267
006,1,7.074663,5A,2B,1,0.02243999999999957,2.325738974956252,1.8774171790734873,83.66386716013918
006,1,7.207438,2B,5B,1,0.48897300000000055,7.937391113182542,2.138024210347509,4.372479074197361
006,1,8.065153,5B,6B,1,0.3653279999999999,16.95095330890912,2.0905641623772775,5.722430698926111
006,1,9.028896,6B,3B,1,0.06646800000000042,0.2249754729133855,1.6724181304335948,25.16125248892075
006,1,9.295565,3B,6A,1,0.06681999999999988,0.9599802080516184,1.4227445106996552,21.292195610590507
006,1,9.429373,6A,9A,1,0.13346300000000078,2.823760027783436,1.7437284847162302,13.065257672285354
006,1,9.595245,9A,9B,1,0.3681380000000001,5.695448189893426,0.176117659557468,0.4784011961749886
006,1,10.19537,9B,5B,1,0.3997299999999999,8.38762076522218,2.9312497732837848,7.333074258333839
006,1,10.76233,5B,8B,1,0.13259000000000043,2.9586686441018344,1.6610613802329306,12.527802852650465
006,1,11.06144,8B,5A,1,0.06646000000000107,2.523297316456393,1.5578307625242525,23.440125827929993
